Name,Album,Artist,Album_Artist,Genre,Year,Date_Added,Group,Play_Count,Location,All_Artists,Comments,Composer
Shine,Fire Within,Birdy,Birdy,Easy Listening,2013,2016-01-01 18:31:17,?,14,iTunes Media/Music/Birdy/Fire Within/11 Shine.m4a,Birdy,,
Beautiful World [Original Mix],Beautiful World [Single],Blasterjaxx & DBSTF (feat. Ryder),Blasterjaxx & DBSTF,Big Room,2015,2016-01-01 18:31:17,REVEALED,26,iTunes Media/Music/Blasterjaxx & DBSTF/Beautiful World [Single]/Beautiful World [Original Mix].mp3,"Blasterjaxx, Ryder, D-Block & S-te-Fan",,
Far L'Amore,Far L'Amore [Single],Bob Sinclar (feat. Raffaella Carrà),Bob Sinclar,House,2011,2016-01-01 18:31:17,,14,iTunes Media/Music/Bob Sinclar/Far L'Amore [Single]/Far L'Amore.mp3,"Bob Sinclar, Raffaella Carrà",,
Lala Song,Lala Song [Single],Bob Sinclar (feat. Sugarhill Gang),Bob Sinclar,Dancehall,2009,2016-01-01 18:31:17,,20,iTunes Media/Music/Bob Sinclar/Lala Song [Single]/Lala Song.mp3,"Bob Sinclar, Sugarhill Gang",,
Love Generation,Love Generation [Single],"Bob Sinclar (feat. Gary ""Nesta"" Pine)",Bob Sinclar,House,2005,2016-01-01 18:31:17,,12,iTunes Media/Music/Bob Sinclar/Love Generation [Single]/Love Generation.mp3,"Bob Sinclar, Gary ""Nesta"" Pine",,
Rainbow Of Love,Rainbow Of Love [Single],Bob Sinclar (feat. Ben Onono),Bob Sinclar,House,2010,2016-01-01 18:31:17,,27,iTunes Media/Music/Bob Sinclar/Rainbow Of Love [Single]/Rainbow Of Love.mp3,"Ben Onono, Bob Sinclar",,
Rock The Boat,Rock The Boat [Single],"Bob Sinclar (feat. Fatman Scoop, Pitbull & Dragonfly)",Bob Sinclar,House,2011,2016-01-01 18:31:17,,16,iTunes Media/Music/Bob Sinclar/Rock The Boat [Single]/Rock The Boat.mp3,"Bob Sinclar, Dragonfly, Fatman Scoop, Pitbull",,
Summer Moonlight,Summer Moonlight [Single],Bob Sinclar,Bob Sinclar,Progressive House,2013,2016-01-01 18:31:17,?,15,iTunes Media/Music/Bob Sinclar/Summer Moonlight [Single]/Summer Moonlight.mp3,Bob Sinclar,,
Someone Somewhere [Tiësto Edit],Someone Somewhere [Remix],Bobby Puma (feat. Natalie Major),Bobby Puma,Progressive House,2015,2016-01-01 18:31:17,MUSICAL FREEDOM,21,iTunes Media/Music/Bobby Puma/Someone Somewhere [Remix]/Someone Somewhere [Tiësto Edit].mp3,"Bobby Puma, Natalie Major, Tiësto",,
They Don't Know Us [Original Mix],They Don't Know Us [Single],Borgeous,Borgeous,Progressive House,2015,2016-01-01 18:31:17,SPINNIN',13,iTunes Media/Music/Borgeous/They Don't Know Us [Single]/They Don't Know Us [Original Mix].mp3,Borgeous,,
Zero Gravity,Zero Gravity [Single],Borgeous (feat. Lights),Borgeous,Progressive House,2015,2016-01-01 18:31:17,SPINNIN',25,iTunes Media/Music/Borgeous/Zero Gravity [Single]/Zero Gravity.mp3,"Borgeous, Lights",,
Big Bang (2015 Life In Color Anthem) [Original Mix],Big Bang (2015 Life In Color Anthem) [Single],Borgeous & David Solano,Borgeous & David Solano,Big Room,2015,2016-01-01 18:31:17,DOORN,19,iTunes Media/Music/Borgeous & David Solano/Big Bang (2015 Life In Color Anthem) [Si/Big Bang (2015 Life In Color Anthem).mp3,"Borgeous, David Solano",,
Deeper Love,Deeper Love [Single],Botnek & I See MONSTAS,Botnek & I See MONSTAS,Drum & Bass,2015,2016-01-01 18:31:17,MONSTERCAT,46,iTunes Media/Music/Botnek & I See MONSTAS/Deeper Love [Single]/Deeper Love.mp3,"Botnek, I See MONSTAS",,
