Track_ID;Name;Album;Artist;Album_Artist;Genre;Year;Date_Added;Group;Play_Count
T1772;Flamingo [Extended Mix];Flamingo [Single];Oliver Heldens;Oliver Heldens;House >> Tropical House / Brazilian Bass;2016;03/03/2017 12:22;HELDEEP;19
T1773;Banzai [Extended Mix];GENERATION HEX 004 E.P.;Sagan;Various Artist;House > Future House / Future Bounce;2017;03/03/2017 12:22;HEXAGON;15
T1774;Jump! [Extended Mix];Generation HEX 004 E.P.;Bart B More × Steff Da Campo (feat. Simon Franks);Various Artist;House > Bass House;2017;04/03/2017 10:29;HEXAGON;21
T1775;It Aint Me [MAGNÜS Remix];It Aint Me [Remix];Kygo & Selena Gomez;Kygo & Selena Gomez;House > Future House / Future Bounce;2017;04/03/2017 10:29;IMMINENT;10
T1776;Back To The Future [Original Mix];GENERATION HEX 004 E.P.;Raven & Kreyn × Matroda;Various Artist;House > Bass House;2017;04/03/2017 10:29;HEXAGON;48
T1777;Move On Me [Extended Mix];GENERATION HEX 004 E.P.;Tom & Jame × Holl & Rush;Various Artist;House > Future House / Future Bounce;2017;04/03/2017 10:29;HEXAGON;15
T1778;Down;Down [Single];METR;METR;House > Future House / Future Bounce;2017;06/03/2017 20:21;JOMPA;22
T1779;Don't Give Up [Vigel Remix];Don't Give Up [Remix];Morgan Page (feat. Lissie);Morgan Page;House > Electro House;2017;06/03/2017 20:21;ARMADA MUSIC;19
T1780;ARYA [Original Mix];ARYA [Single];VSNS;VSNS;House >> Big Room;2017;06/03/2017 20:21;EDMTV;11
T1781;I Would Like [STVCKS Remix];I Would Like [Remixes];Zara Larsson;Zara Larsson;House > Future House / Future Bounce;2016;06/03/2017 20:21;-;8
T1782;Waiting On Your Call;Waiting On Your Call [Single];Anevo (feat. Park Avenue);Anevo;Electronic > Trap;2017;07/03/2017 13:47;MONSTERCAT;54
T1783;Do You Remember [Grey Remix];Do You Remember [Remix];Jarryd James;Jarryd James;Electronic > Electro Pop;2017;07/03/2017 13:47;INTERSCOPE;46
T1784;Step Up Your Game;Step Up Your Game [Single];Mesto;Mesto;Electronic > Drum & Bass;2017;09/03/2017 20:40;SPINNIN' PREMIUM;23
T1785;Reality [Extended Mix];Reality [Single];Adventurer;Adventurer;House > Progressive House;2017;11/03/2017 16:55;REVEALED;15
T1786;Breath Of The Wild [Trap Remix];Game Music Compilation;CG5;Various Artist;Electronic > Trap;2017;11/03/2017 17:01;GAMECHOPS;31
T1787;Warfare [Extended Mix];Warfare [Single];R3SPAWN & Kroshwell;R3SPAWN & Kroshwell;House >> Big Room;2017;11/03/2017 17:49;REVEALED;13
T1788;Can't Stop The Future World [BKID Mashup];EDM Mashup Compilation;Madison Mars V/S Justin Timberlake V/S Swedish House Mafia | BKID;Various Artist;House / Mashup;2016;11/03/2017 20:01;-;27
T1789;Scared To Be Lonely;Scared To Be Lonely;Martin Garrix & Dua Lipa;Martin Garrix & Dua Lipa;Electronic >> Future Bass;2017;11/03/2017 20:01;STMPD;16
T1790;Used To Have It All [Ravitez Remix];Used To Have It All [Remix];Fais & Afrojack;Fais & Afrojack;House > Progressive House;2017;15/03/2017 17:56;WALL;14
T1791;Nova [Extended Mix];Nova [Single];Dirty Ducks & Charlie Ray;Dirty Ducks & Charlie Ray;House >> Big Room;2017;15/03/2017 17:56;REVEALED;18
T1792;Scio [Extended Mix];Scio [Single];Jay Hardway;Jay Hardway;House > Progressive House;2017;15/03/2017 17:56;SPINNIN';26
T1793;Brutal [Faruk Sabanci Edit];Brutal [Remix];Jimmy Clash;Jimmy Clash;House >> Big Room;2017;15/03/2017 17:56;REVEALED;10
T1794;Silencio;Silencio [Single];KRANE × Oceans;KRANE × Oceans;Electronic > Trap;2016;15/03/2017 17:56;-;22
T1795;BLAST;BLAST [Single];Tokyo Machine;Tokyo Machine;House >> 8-Bit House;2017;15/03/2017 17:56;MONSTERCAT;13
T1796;Jumpstarter [Extended Mix];Jumpstarter [Single];TWIIG;TWIIG;House >> Big Room;2017;15/03/2017 17:56;MAINSTAGE MUSIC;9
T1797;Make It Home [Original Mix];Make It Home [Single];TwoWorldsApart & Tom Bourra (feat. Max Landry);TwoWorldsApart & Tom Bourra;House > Progressive House;2017;15/03/2017 17:56;REVERSE;13
T1798;Shape of You [Ellis Remix];Shape Of You [Remixes];Ed Sheeran;Ed Sheeran;House > Future House / Future Bounce;2017;15/03/2017 18:07;-;19
T1799;Fonk It Up [Extended Mix];Fonk It Up [Single];Dannic;Dannic;House > Electro House;2017;18/03/2017 16:14;FONK;16
T1800;Back Again;Back Again [Single];Flosstradamus & Mayhem (feat. Waka Flocka Flame);Flosstradamus & Mayhem;Electronic > Trap;2017;18/03/2017 16:14;ULTRA;27
T1801;Baldadig [Extended Mix];Baldadig [Single];Hardwell & Quitino;Hardwell & Quitino;House >> Big Room;2016;18/03/2017 16:14;REVEALED;17
T1802;Kundalini [Extended Mix];Kundalini [Single];Headhunterz & Skytech;Headhunterz & Skytech;House >> Big Room;2016;18/03/2017 16:14;SPINNIN';18
T1803;Pain Is Gone;Pain Is Gone [Single];Bq × Jo Cohen × Marky Style;Bq × Jo Cohen × Marky Style;Electronic >> Future Bass;2017;18/03/2017 16:14;TRAP CITY;26
T1804;Scare To Be Lonely [Brooks Remix];Scared To Be Lonely;Martin Garrix & Dua Lipa;Martin Garrix & Dua Lipa;House > Future House / Future Bounce;2017;18/03/2017 16:14;STMPD;17
T1805;Gecko (Overdrive) [Extended Mix];Gecko (Overdrive) [Single];Oliver Heldens × Becky Hill;Oliver Heldens × Becky Hill;House > Future House / Future Bounce;2014;18/03/2017 16:14;SPINNIN';20
T1806;Bug Twerk [Extended Mix];Bug Twerk [Single];Ravitez;Ravitez;House > Electro House;2017;18/03/2017 16:14;REVEALED;14
T1807;Never Let You Go [Don Diablo Remix];Never Let You Go [Remix];Rudimental;Rudimental;House > Future House / Future Bounce;2015;18/03/2017 16:14;ASYLUM / MAJOR TOM'S;49
T1808;Children Of A Miracle [Original Mix];Children Of A Miracle;Don Diablo & Marnik;Don Diablo & Marnik;Electronic >> Future Bass;2017;18/03/2017 18:21;HEXAGON;16
T1809;Eastern Ghetto [Original Mix];Eastern Ghetto [Single];Chris Later & Dirty Palm;Chris Later & Dirty Palm;House > Future House / Future Bounce;2017;24/03/2017 10:26;NIK COOPER;16
T1810;Kingdom [Extended Mix];The Miami EP;Dirty Ducks & We AM;Various Artist;House > Electro House;2017;24/03/2017 10:26;FONK;15
T1811;Calling [Zonderling Remix];Calling [Remix];DJ Licious;DJ Licious;House;2017;24/03/2017 10:26;SHOMI;25
T1812;Feel Good [Original Mix];Feel Good [Single];Dytone;Dytone;House > Future House / Future Bounce;2017;24/03/2017 10:26;SICK & SOUND;10
T1813;Everytime [Original Mix];Everytime [Single];eedion;eedion;House > Future House / Future Bounce;2017;24/03/2017 10:26;FUTURE HOUSE RECORDS;14
T1814;Welcome To The Real World;Welcome To The Real World [Single];Frik 'N Krazy × Thisink;Frik 'N Krazy × Thisink;Electronic >> Melodic Dubstep;2017;24/03/2017 10:26;EMNETWORK;13
T1815;Fade [Extended Mix];The Miami EP;LoaX;Various Artist;House > Electro House;2017;24/03/2017 10:26;FONK;12
T1816;Fighting On Our Own [Original Mix];Fighting On Our Own [Single];Loreno Mayer, Edyra & Nickobella (feat. Enya Angel);Loreno Mayer, Edyra & Nickobella;House > Progressive House;2017;24/03/2017 10:26;PUREGOLD;13
T1817;Rise Above;Origins / Rise Above;Phaera (feat. Jem Strickland);Phaera;Electronic >> Melodic Dubstep;2017;24/03/2017 10:26;EYE TO EYE;7
T1818;Rumble [Extended Mix];Rumble [Single];REGGIO & Sansixto;REGGIO & Sansixto;House >> Big Room;2017;24/03/2017 10:26;REVEALED;5
T1819;Aubade [Exclusion Remix];Aubade [Remix];Satellite Empire;Satellite Empire;Electronic >> Melodic Dubstep;2017;24/03/2017 10:26;NEW DAWN COLLECTIVE;26
T1820;Back To Me [Extended Mix];Back To Me [Single];KSHMR & Crossnaders (feat. Micky Blue);KSHMR & Crossnaders;House >> Big Room;2017;24/03/2017 12:50;SPINNIN';8
T1821;Twinbow;Twinbow [Single];slushii × marshmello;slushii × marshmello;Electronic >> Kawaii Future Bass;2017;24/03/2017 12:50;-;16
T1822;Fireflies;Fireflies [Single];Teminite & Starr Chen;Teminite & Starr Chen;Electronic > Dubstep / Brostep;2017;24/03/2017 12:50;-;18
T1823;Poison [Original Mix];Poison [Single];Kroshwell;Kroshwell;House >> Big Room;2017;25/03/2017 17:22;EDMTV;6
T1824;Swing [Original Mix];Swing [Single];Math Sunshine & Loris Cimino;Math Sunshine & Loris Cimino;House > Electro House;2017;25/03/2017 17:22;REVERSE;11
T1825;Horus [Original Mix];Horus [Single];GLDN & Aztec;GLDN & Aztec;House >> Big Room;2017;25/03/2017 17:22;CELL;8
T1826;Touch The Sky [Original Mix];Touch The Sky [Single];98.20.11 & Bienkovsky;98.20.11 & Bienkovsky;House > Progressive House;2017;26/03/2017 22:25;EXPOSED;5
T1827;Opgeturnt;Opgeturnt [Single];Kraantje Pappie × Lucas & Steve;Kraantje Pappie × Lucas & Steve;House > Future House / Future Bounce;2017;26/03/2017 22:25;SPINNIN' REMIXES;12
T1828;The Ghost [Original Mix];The Ghost [Single];NIVIRO;NIVIRO;House >> Big Room;2017;26/03/2017 22:25;NCS;8
T1829;Skin [Our Psych Remix];Skin [Remix];Retro Stefson;Retro Stefson;House > Future House / Future Bounce;2016;26/03/2017 22:25;-;9
T1830;Rogue Ones [Extended Mix];Rogue Ones [Single];Joey Dale & Adventurer (feat. Micah Martin);Joey Dale & Adventurer;House > Progressive House;2017;27/03/2017 20:16;REVEALED;14
T1831;Cell [2017 Trap Reboot];Cell [Remix];Julian Calor;Julian Calor;Electronic > Trap;2017;27/03/2017 20:16;REVEALED;30
T1832;Over Again [Extended Mix];Over Again [Single];RetroVision (feat. Micah Martin);RetroVision;House > Future House / Future Bounce;2017;27/03/2017 20:16;NCS;21
T1833;Symphony [Beau Collins Remix];Symphony [Remixes];Clean Bandit (feat. Zara Larsson);Clean Bandit;House > Future House / Future Bounce;2017;29/03/2017 21:27;FUTURE HOUSE MUSIC;16
T1834;Selecta [Extended Mix];Selecta [Single];Roses;Roses;House > Future House / Future Bounce;2017;31/03/2017 10:06;FATED;24
T1835;Us Against The World;Us Against The World [Single];Darren Styles;Darren Styles;House >> Happy Hardcore;2017;04/04/2017 08:32;MONSTERCAT;25
T1836;One Life Short;One Life Short [Single];Geoxor;Geoxor;House > Electro House;2017;04/04/2017 08:32;NINETY9LIVES;22
T1837;Byte [Extended Mix];Byte [Single];Martin Garrix & Brooks;Martin Garrix & Brooks;House > Future House / Future Bounce;2017;07/04/2017 09:34;STMPD;22
T1838;Aurora [Original Mix];Aurora [Single];Joe Jayson & Greg Dela;Joe Jayson & Greg Dela;House > Future House / Future Bounce;2017;07/04/2017 11:12;FUTURE'S FINEST;18
T1839;What It Looks Like [Extended Mix];What It Looks Like [Single];Daniel Garrick × KARRA;Daniel Garrick × KARRA;House > Progressive House;2017;08/04/2017 15:05;REVEALED;11
T1840;Feel Alive [Extended Mix];Feel Alive [Single];Lucas & Steve × Pep & Rash;Lucas & Steve × Pep & Rash;House > Future House / Future Bounce;2017;08/04/2017 15:05;SPINNIN';14
T1841;Focus [Extended Mix];Focus [Single];SICK INDIVIDUALS;SICK INDIVIDUALS;House > Electro House;2017;08/04/2017 15:05;REVEALED;29
T1842;Hoop [Original Mix];Hoop [Single];Adaptiv & Ton Don;Adaptiv & Ton Don;House > Future House / Future Bounce;2017;08/04/2017 17:34;SICK & SOUND;20
T1843;Good Grief [Don Diablo Remix];Good Grief [Remix];Bastille;Bastille;House > Future House / Future Bounce;2016;12/04/2017 16:54;VIRGIN;27
T1844;Echo [Ben Ambergen & Pete Kingsman Remix];Echo [Remix];Hardwell (feat. Jonathan Mendelsohn);Hardwell;House > Progressive House;2017;12/04/2017 16:54;DUBSET;23
